#Software: IIS Advanced Logging Module
#Version: 1.0
#Start-Date: 2011-09-16 13:39:23.056
#Fields:  Date-UTC Time-UTC Client-IP UserName SiteName ComputerName Server-IP Method URI-Stem URI-Querystring Status Win32Status BytesSent BytesReceived Time-Taken ServerPort User-Agent Cookie Referer Protocol Version Host Substatus
2011-09-16 13:39:19.556 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET / - 200 0 1398 419 31921 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "-" "-" "localhost:2035" 0
2011-09-16 13:39:19.650 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Content/Site.css - 200 0 2286 423 78 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.744 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.unobtrusive-ajax.min.js - 200 0 1907 430 156 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.760 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/modernizr-1.7.min.js - 200 0 4991 420 171 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.775 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.validate.unobtrusive.min.js - 200 0 2376 434 187 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.822 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.validate.min.js - 200 0 8314 422 234 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.853 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Content/themes/base/jquery-ui.css - 200 0 8061 440 109 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.869 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery-1.6.2.min.js - 200 0 41311 419 296 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.869 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jQuery.tmpl.min.js - 200 0 3750 418 109 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.885 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Content/prettyPhoto.css - 200 0 4228 430 109 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:19.900 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.prettyPhoto.js - 200 0 8792 421 78 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
